date,team,opponent,goals_for,goals_against,result,competition
2024-07-04,Egypt,Morocco,0,0,D,Continental Championship
2024-07-05,DR Congo,Egypt,1,1,L,International Friendly
2024-07-05,Brazil,Cape Verde,3,0,W,World Cup Qualifier
2024-07-06,Switzerland,Algeria,0,0,D,International Friendly
2024-07-06,Japan,Ghana,2,4,L,International Friendly
2024-07-06,Colombia,Argentina,1,1,L,International Friendly
2024-07-06,Iran,Cape Verde,3,0,W,Continental Championship
2024-07-07,Morocco,Colombia,3,3,D,Continental Championship
2024-07-07,New Zealand,Portugal,3,2,W,International Friendly
2024-07-07,Belgium,France,1,0,W,Continental Championship
2024-07-07,Curaçao,Haiti,3,1,W,Continental Championship
2024-07-07,Canada,Spain,0,2,L,World Cup Qualifier
2024-07-08,Iraq,Austria,1,0,W,International Friendly
2024-07-08,England,Panama,2,0,W,World Cup Qualifier
2024-07-08,Argentina,South Africa,2,2,D,International Friendly
2024-07-09,Egypt,Iran,2,1,W,Continental Championship
2024-07-09,Türkiye,Ivory Coast,0,3,L,International Friendly
2024-07-10,Uruguay,Scotland,1,0,W,Continental Championship
2024-07-10,Croatia,Belgium,1,3,L,International Friendly
2024-07-10,Colombia,Algeria,3,3,D,Continental Championship
2024-07-10,Curaçao,Morocco,1,3,L,Continental Championship
2024-07-10,Qatar,Paraguay,2,2,W,International Friendly
2024-07-10,Algeria,England,1,1,W,Continental Championship
2024-07-10,Bosnia and Herzegovina,Türkiye,0,1,L,International Friendly
2024-07-11,South Korea,Morocco,0,1,L,World Cup Qualifier
2024-07-12,Ghana,Uzbekistan,1,1,D,International Friendly
2024-07-12,South Africa,United States,3,1,W,Continental Championship
2024-07-12,Ivory Coast,Scotland,3,0,W,International Friendly
2024-07-12,Argentina,United States,1,1,W,Continental Championship
2024-07-12,South Korea,Ivory Coast,0,1,L,World Cup Qualifier
2024-07-13,Tunisia,Iraq,2,1,W,International Friendly
2024-07-13,Norway,Jordan,2,1,W,Continental Championship
2024-07-14,Ghana,United States,2,2,W,World Cup Qualifier
2024-07-14,Spain,Japan,1,1,W,Continental Championship
2024-07-15,Belgium,DR Congo,1,1,W,Continental Championship
2024-07-15,Germany,South Korea,1,0,W,Continental Championship
2024-07-15,Türkiye,Ecuador,4,1,W,International Friendly
2024-07-15,Croatia,Ghana,3,0,W,Continental Championship
2024-07-16,France,Egypt,3,0,W,World Cup Qualifier
2024-07-16,Switzerland,Croatia,3,0,W,International Friendly
2024-07-16,France,Germany,0,0,D,World Cup Qualifier
2024-07-16,Canada,Uruguay,1,2,W,World Cup Qualifier
2024-07-16,Türkiye,Algeria,2,2,W,Continental Championship
2024-07-16,Colombia,Brazil,1,2,L,Continental Championship
2024-07-17,Belgium,Austria,1,1,W,World Cup Qualifier
2024-07-17,Iran,Scotland,3,3,D,International Friendly
2024-07-18,Czech Republic,Egypt,2,2,D,World Cup Qualifier
2024-07-18,Qatar,DR Congo,1,1,L,World Cup Qualifier
2024-07-18,Brazil,England,1,1,D,World Cup Qualifier
2024-07-18,Spain,Cape Verde,1,0,W,International Friendly
2024-07-19,Canada,Saudi Arabia,2,2,W,International Friendly
2024-07-20,England,Algeria,1,4,L,International Friendly
2024-07-20,New Zealand,South Africa,1,1,D,World Cup Qualifier
2024-07-20,Austria,Qatar,1,1,D,Continental Championship
2024-07-20,Iraq,Brazil,1,1,L,International Friendly
2024-07-20,Canada,Austria,1,1,L,World Cup Qualifier
2024-07-20,Czech Republic,Portugal,1,3,L,International Friendly
2024-07-21,Croatia,New Zealand,1,1,D,International Friendly
2024-07-21,Cape Verde,Algeria,2,0,W,World Cup Qualifier
2024-07-21,Türkiye,England,2,2,D,World Cup Qualifier
2024-07-22,Japan,France,1,1,D,Continental Championship
2024-07-22,Portugal,Australia,1,2,W,World Cup Qualifier
2024-07-22,United States,Bosnia and Herzegovina,1,1,D,World Cup Qualifier
2024-07-22,Czech Republic,Japan,3,3,D,Continental Championship
2024-07-23,Tunisia,Iraq,2,0,W,Continental Championship
2024-07-23,Netherlands,Portugal,1,0,W,Continental Championship
2024-07-23,United States,Tunisia,0,0,D,Continental Championship
2024-07-23,Colombia,England,0,2,L,World Cup Qualifier
2024-07-23,South Korea,France,1,1,D,World Cup Qualifier
2024-07-24,United States,Colombia,2,0,W,Continental Championship
2024-07-24,Panama,Bosnia and Herzegovina,2,0,W,International Friendly
2024-07-25,Portugal,Haiti,1,1,D,World Cup Qualifier
2024-07-25,Scotland,Portugal,3,0,W,International Friendly
2024-07-25,South Korea,Ghana,0,2,L,Continental Championship
2024-07-25,England,Morocco,2,1,W,International Friendly
2024-07-25,Spain,Canada,2,0,W,International Friendly
2024-07-25,Iran,Colombia,1,1,D,World Cup Qualifier
2024-07-26,Norway,Iraq,2,2,W,International Friendly
2024-07-26,Haiti,Iran,1,0,W,Continental Championship
2024-07-26,Switzerland,Czech Republic,3,0,W,Continental Championship
2024-07-26,Portugal,Ivory Coast,3,0,W,Continental Championship
2024-07-27,Morocco,Colombia,0,2,L,World Cup Qualifier
2024-07-27,Brazil,Senegal,1,1,D,World Cup Qualifier
2024-07-27,South Korea,Sweden,2,0,W,Continental Championship
2024-07-27,Croatia,Brazil,1,2,L,World Cup Qualifier
2024-07-27,England,Bosnia and Herzegovina,1,1,L,International Friendly
2024-07-28,Portugal,Australia,2,1,W,International Friendly
2024-07-29,Portugal,Belgium,1,0,W,International Friendly
2024-07-30,United States,Australia,3,0,W,World Cup Qualifier
2024-07-30,Ecuador,Belgium,0,1,L,International Friendly
2024-07-30,Ghana,Ecuador,2,2,D,International Friendly
2024-07-30,Panama,Switzerland,0,3,L,World Cup Qualifier
2024-07-31,Sweden,Canada,2,2,W,International Friendly
2024-07-31,Iran,Qatar,0,1,L,Continental Championship
2024-07-31,Uzbekistan,Canada,1,1,D,World Cup Qualifier
2024-07-31,Ivory Coast,Curaçao,3,1,W,Continental Championship
2024-08-01,South Korea,Ivory Coast,3,2,W,International Friendly
2024-08-01,Egypt,South Korea,0,2,L,Continental Championship
2024-08-01,France,Qatar,1,0,W,International Friendly
2024-08-01,Ghana,Argentina,1,1,D,International Friendly
2024-08-01,Ivory Coast,United States,2,0,W,International Friendly
2024-08-02,Canada,Brazil,3,1,W,World Cup Qualifier
2024-08-02,DR Congo,Belgium,1,1,L,World Cup Qualifier
2024-08-03,Australia,Senegal,1,1,D,World Cup Qualifier
2024-08-03,Colombia,Qatar,1,1,D,Continental Championship
2024-08-04,Japan,Bosnia and Herzegovina,2,0,W,Continental Championship
2024-08-04,Jordan,Haiti,2,0,W,World Cup Qualifier
2024-08-04,New Zealand,Uzbekistan,1,4,L,World Cup Qualifier
2024-08-04,Colombia,Mexico,0,1,L,International Friendly
2024-08-04,New Zealand,South Africa,0,2,L,World Cup Qualifier
2024-08-04,Morocco,France,0,3,L,International Friendly
2024-08-05,Algeria,South Africa,1,1,D,World Cup Qualifier
2024-08-05,Colombia,Cape Verde,2,2,D,Continental Championship
2024-08-06,Canada,Paraguay,2,0,W,World Cup Qualifier
2024-08-06,Curaçao,Croatia,1,1,L,International Friendly
2024-08-08,France,Mexico,1,2,W,World Cup Qualifier
2024-08-08,Panama,Germany,0,1,L,World Cup Qualifier
2024-08-08,Australia,Haiti,1,1,D,Continental Championship
2024-08-08,Morocco,Czech Republic,1,4,L,Continental Championship
2024-08-08,Bosnia and Herzegovina,Iraq,2,0,W,Continental Championship
2024-08-08,Ghana,Norway,2,3,L,Continental Championship
2024-08-08,Qatar,Netherlands,2,2,W,Continental Championship
2024-08-09,Saudi Arabia,Paraguay,1,0,W,International Friendly
2024-08-09,Türkiye,Jordan,3,1,W,International Friendly
2024-08-09,Switzerland,Japan,0,3,L,Continental Championship
2024-08-09,Uzbekistan,South Africa,1,0,W,International Friendly
2024-08-09,South Africa,Australia,2,2,L,Continental Championship
2024-08-10,Scotland,Colombia,0,3,L,World Cup Qualifier
2024-08-10,Czech Republic,Germany,2,2,D,International Friendly
2024-08-10,Colombia,Jordan,1,2,W,International Friendly
2024-08-10,Algeria,Switzerland,3,2,W,International Friendly
2024-08-10,Egypt,Argentina,1,1,D,International Friendly
2024-08-11,Iraq,France,1,4,L,Continental Championship
2024-08-11,South Africa,Japan,2,2,D,World Cup Qualifier
2024-08-12,New Zealand,South Korea,0,2,L,Continental Championship
2024-08-12,Cape Verde,Austria,0,0,D,World Cup Qualifier
2024-08-12,Belgium,Japan,1,2,L,International Friendly
2024-08-12,Croatia,United States,1,0,W,World Cup Qualifier
2024-08-12,Portugal,Ivory Coast,1,1,D,International Friendly
2024-08-12,Ivory Coast,Czech Republic,1,4,L,World Cup Qualifier
2024-08-13,Spain,Norway,1,0,W,International Friendly
2024-08-14,Scotland,Cape Verde,2,2,D,World Cup Qualifier
2024-08-14,DR Congo,Egypt,3,1,W,International Friendly
2024-08-15,Saudi Arabia,England,1,1,W,World Cup Qualifier
2024-08-15,Iran,Uzbekistan,1,1,D,International Friendly
2024-08-15,Türkiye,South Korea,2,0,W,Continental Championship
2024-08-15,Spain,Australia,1,0,W,International Friendly
2024-08-15,Tunisia,Ghana,3,3,D,International Friendly
2024-08-16,Haiti,Colombia,0,0,D,World Cup Qualifier
2024-08-16,Tunisia,Brazil,1,1,D,Continental Championship
2024-08-16,Paraguay,Uzbekistan,2,4,L,Continental Championship
2024-08-16,Egypt,Ivory Coast,3,0,W,Continental Championship
2024-08-16,Iraq,Colombia,0,1,L,World Cup Qualifier
2024-08-17,DR Congo,Algeria,1,1,D,World Cup Qualifier
2024-08-17,Ivory Coast,Iraq,3,0,W,World Cup Qualifier
2024-08-18,Jordan,DR Congo,0,0,D,World Cup Qualifier
2024-08-18,Qatar,Panama,1,2,W,International Friendly
2024-08-19,Algeria,Switzerland,1,3,L,World Cup Qualifier
2024-08-20,Iraq,South Africa,2,2,W,Continental Championship
2024-08-20,Cape Verde,Brazil,2,2,W,World Cup Qualifier
2024-08-20,South Africa,United States,2,0,W,Continental Championship
2024-08-21,Senegal,Japan,1,1,W,Continental Championship
2024-08-21,Croatia,Argentina,2,1,W,Continental Championship
2024-08-21,Austria,Haiti,3,3,D,Continental Championship
2024-08-22,Sweden,Türkiye,0,2,L,World Cup Qualifier
2024-08-22,Ghana,Senegal,0,1,L,International Friendly
2024-08-22,Sweden,Brazil,1,1,D,International Friendly
2024-08-23,Brazil,Uruguay,1,1,W,Continental Championship
2024-08-23,Switzerland,Germany,0,2,L,World Cup Qualifier
2024-08-24,Cape Verde,Scotland,2,2,L,World Cup Qualifier
2024-08-24,Cape Verde,Argentina,3,3,D,World Cup Qualifier
2024-08-24,Uzbekistan,Netherlands,0,3,L,Continental Championship
2024-08-25,Netherlands,Argentina,2,2,L,World Cup Qualifier
2024-08-25,Spain,Uzbekistan,0,0,D,Continental Championship
2024-08-25,Curaçao,Mexico,2,2,L,International Friendly
2024-08-25,Uruguay,Bosnia and Herzegovina,1,2,W,International Friendly
2024-08-25,Iraq,South Korea,0,2,L,Continental Championship
2024-08-26,Croatia,Uzbekistan,4,0,W,World Cup Qualifier
2024-08-26,Argentina,Sweden,2,0,W,Continental Championship
2024-08-26,Morocco,Portugal,3,0,W,World Cup Qualifier
2024-08-27,Iran,Norway,2,0,W,International Friendly
2024-08-28,Ivory Coast,New Zealand,2,1,L,World Cup Qualifier
2024-08-28,Algeria,Panama,2,0,W,Continental Championship
2024-08-28,Egypt,DR Congo,1,3,L,World Cup Qualifier
2024-08-29,Cape Verde,Croatia,0,1,L,International Friendly
2024-08-30,Ghana,DR Congo,2,0,W,International Friendly
2024-08-30,DR Congo,South Korea,1,0,W,Continental Championship
2024-08-30,Egypt,Netherlands,2,3,L,World Cup Qualifier
2024-08-31,Canada,England,0,3,L,International Friendly
2024-08-31,Australia,Panama,1,1,D,Continental Championship
2024-08-31,Ivory Coast,United States,1,2,L,Continental Championship
2024-08-31,Germany,DR Congo,0,0,D,World Cup Qualifier
2024-09-01,Egypt,Canada,1,2,L,World Cup Qualifier
2024-09-01,Bosnia and Herzegovina,Egypt,0,3,L,International Friendly
2024-09-02,Bosnia and Herzegovina,Türkiye,2,2,L,Continental Championship
2024-09-02,Colombia,Curaçao,0,1,L,World Cup Qualifier
2024-09-02,Senegal,Scotland,2,2,D,World Cup Qualifier
2024-09-02,Austria,Brazil,2,0,W,International Friendly
2024-09-02,Norway,Iran,1,0,W,World Cup Qualifier
2024-09-03,England,Japan,0,0,D,International Friendly
2024-09-03,Czech Republic,Argentina,0,1,L,World Cup Qualifier
2024-09-03,Switzerland,Iran,2,1,L,International Friendly
2024-09-04,Türkiye,Argentina,1,1,W,Continental Championship
2024-09-04,Haiti,Jordan,0,2,L,Continental Championship
2024-09-04,Norway,South Africa,2,0,W,Continental Championship
2024-09-04,Türkiye,Sweden,1,0,W,World Cup Qualifier
2024-09-04,Germany,England,2,2,W,Continental Championship
2024-09-04,Ecuador,Egypt,1,1,D,International Friendly
2024-09-05,Colombia,Egypt,1,1,D,International Friendly
2024-09-05,Paraguay,Uruguay,1,0,W,International Friendly
2024-09-05,Senegal,Netherlands,0,1,L,International Friendly
2024-09-06,DR Congo,Brazil,1,2,L,International Friendly
2024-09-06,Ghana,Argentina,1,1,D,International Friendly
2024-09-06,Cape Verde,Sweden,0,0,D,Continental Championship
2024-09-06,Qatar,Cape Verde,1,1,L,World Cup Qualifier
2024-09-06,Brazil,Canada,1,0,W,World Cup Qualifier
2024-09-07,Morocco,Bosnia and Herzegovina,1,1,W,World Cup Qualifier
2024-09-07,Cape Verde,Iraq,0,0,D,International Friendly
2024-09-08,New Zealand,Croatia,1,0,W,World Cup Qualifier
2024-09-08,Netherlands,Scotland,1,1,D,World Cup Qualifier
2024-09-08,Tunisia,Algeria,1,1,D,World Cup Qualifier
2024-09-08,Saudi Arabia,Paraguay,2,0,W,World Cup Qualifier
2024-09-09,Ghana,Austria,1,1,D,International Friendly
2024-09-10,Mexico,Czech Republic,1,1,D,International Friendly
2024-09-10,Egypt,Morocco,2,0,W,International Friendly
2024-09-10,Iraq,Australia,0,0,D,Continental Championship
2024-09-11,Panama,England,1,0,W,World Cup Qualifier
2024-09-11,Egypt,Bosnia and Herzegovina,3,3,D,World Cup Qualifier
2024-09-11,Bosnia and Herzegovina,Austria,1,2,L,International Friendly
2024-09-11,Austria,Australia,1,0,W,International Friendly
2024-09-13,Ghana,Portugal,1,1,D,International Friendly
2024-09-13,Japan,South Korea,1,1,D,World Cup Qualifier
2024-09-13,Spain,Ecuador,2,0,W,Continental Championship
2024-09-13,Saudi Arabia,Cape Verde,0,0,D,World Cup Qualifier
2024-09-13,Austria,Ivory Coast,1,0,W,World Cup Qualifier
2024-09-14,South Africa,Sweden,1,1,D,International Friendly
2024-09-14,Saudi Arabia,Argentina,0,0,D,International Friendly
2024-09-14,Iran,Scotland,2,2,L,World Cup Qualifier
2024-09-14,Croatia,Spain,1,1,D,International Friendly
2024-09-15,Australia,Panama,3,0,W,Continental Championship
2024-09-15,Curaçao,France,2,0,W,World Cup Qualifier
2024-09-15,Uzbekistan,Türkiye,2,0,W,World Cup Qualifier
2024-09-15,DR Congo,Australia,1,1,L,Continental Championship
2024-09-15,Ghana,Qatar,1,1,W,International Friendly
2024-09-15,Saudi Arabia,Uzbekistan,1,0,W,World Cup Qualifier
2024-09-16,Tunisia,Panama,0,2,L,International Friendly
2024-09-16,Germany,Portugal,1,0,W,Continental Championship
2024-09-17,Australia,Brazil,0,1,L,International Friendly
2024-09-17,Morocco,Netherlands,2,2,L,Continental Championship
2024-09-17,Tunisia,Morocco,1,3,L,World Cup Qualifier
2024-09-18,Belgium,Ecuador,0,0,D,Continental Championship
2024-09-19,Brazil,Australia,1,0,W,International Friendly
2024-09-19,Senegal,Spain,0,1,L,World Cup Qualifier
2024-09-19,Switzerland,Qatar,3,1,W,World Cup Qualifier
2024-09-19,Ghana,Argentina,0,4,L,World Cup Qualifier
2024-09-19,France,Ghana,1,1,D,International Friendly
2024-09-20,France,Qatar,2,0,W,International Friendly
2024-09-20,Spain,Norway,0,0,D,International Friendly
2024-09-20,Iran,Uruguay,0,1,L,International Friendly
2024-09-21,Iraq,Curaçao,3,0,W,Continental Championship
2024-09-21,South Korea,Canada,1,1,D,World Cup Qualifier
2024-09-21,Haiti,Canada,3,2,W,World Cup Qualifier
2024-09-22,Saudi Arabia,Haiti,2,2,D,International Friendly
2024-09-22,Tunisia,Belgium,3,0,W,International Friendly
2024-09-22,Canada,Iraq,1,1,D,International Friendly
2024-09-23,Croatia,Cape Verde,1,1,W,World Cup Qualifier
2024-09-23,Saudi Arabia,Mexico,1,0,W,International Friendly
2024-09-23,Ecuador,Algeria,0,0,D,Continental Championship
2024-09-23,Ecuador,Switzerland,1,1,L,Continental Championship
2024-09-23,Brazil,Morocco,0,3,L,Continental Championship
2024-09-24,United States,Egypt,3,0,W,World Cup Qualifier
2024-09-24,France,South Africa,1,1,D,Continental Championship
2024-09-24,Ivory Coast,Portugal,1,0,W,International Friendly
2024-09-24,Bosnia and Herzegovina,Cape Verde,0,1,L,World Cup Qualifier
2024-09-24,Jordan,Sweden,0,0,D,Continental Championship
2024-09-25,Australia,Tunisia,1,1,D,Continental Championship
2024-09-25,Iraq,Ivory Coast,1,1,D,Continental Championship
2024-09-25,Haiti,Spain,1,4,L,Continental Championship
2024-09-26,Panama,Spain,0,2,L,Continental Championship
2024-09-26,Germany,New Zealand,3,0,W,International Friendly
2024-09-27,DR Congo,Spain,0,0,D,Continental Championship
2024-09-27,Netherlands,Tunisia,1,1,W,International Friendly
2024-09-27,Senegal,Brazil,1,1,W,International Friendly
2024-09-27,Argentina,South Africa,1,1,D,Continental Championship
2024-09-27,Uruguay,Spain,1,1,W,World Cup Qualifier
2024-09-27,Curaçao,Croatia,1,1,D,Continental Championship
2024-09-28,DR Congo,Spain,2,4,L,Continental Championship
2024-09-28,Türkiye,Iran,4,0,W,International Friendly
2024-09-29,Uzbekistan,Norway,1,4,L,International Friendly
2024-09-29,Spain,Ivory Coast,1,0,W,World Cup Qualifier
2024-09-29,Haiti,Paraguay,0,1,L,International Friendly
2024-09-29,Iran,Uzbekistan,0,0,D,Continental Championship
2024-09-30,United States,DR Congo,0,1,L,Continental Championship
2024-09-30,Algeria,Brazil,0,0,D,World Cup Qualifier
2024-09-30,Egypt,Croatia,0,2,L,International Friendly
2024-09-30,Morocco,Portugal,2,2,D,World Cup Qualifier
2024-10-01,Norway,Austria,3,0,W,Continental Championship
2024-10-01,France,Uzbekistan,1,2,W,Continental Championship
2024-10-02,Japan,Sweden,3,3,D,Continental Championship
2024-10-02,Egypt,Czech Republic,0,0,D,World Cup Qualifier
2024-10-02,Switzerland,Portugal,3,2,W,World Cup Qualifier
2024-10-03,Qatar,Brazil,2,0,W,International Friendly
2024-10-03,Argentina,Japan,1,1,D,International Friendly
2024-10-03,Uzbekistan,Haiti,0,0,D,Continental Championship
2024-10-03,Egypt,Paraguay,1,1,D,Continental Championship
2024-10-04,Netherlands,Ivory Coast,2,2,W,World Cup Qualifier
2024-10-04,Haiti,DR Congo,0,1,L,International Friendly
2024-10-04,Uzbekistan,United States,2,2,D,Continental Championship
2024-10-05,South Korea,Austria,0,2,L,World Cup Qualifier
2024-10-05,Bosnia and Herzegovina,Ivory Coast,2,1,W,International Friendly
2024-10-05,United States,Türkiye,0,1,L,Continental Championship
2024-10-05,Germany,Ivory Coast,3,0,W,Continental Championship
2024-10-05,Paraguay,Iraq,2,3,L,Continental Championship
2024-10-05,Sweden,Austria,1,1,D,World Cup Qualifier
2024-10-06,Germany,Switzerland,1,1,W,International Friendly
2024-10-06,Croatia,Australia,4,1,W,Continental Championship
2024-10-06,Qatar,France,2,2,D,World Cup Qualifier
2024-10-06,Uruguay,Iraq,2,0,W,International Friendly
2024-10-07,Paraguay,Iraq,1,1,D,International Friendly
2024-10-07,Tunisia,Portugal,0,1,L,International Friendly
2024-10-07,Ivory Coast,Argentina,1,1,D,World Cup Qualifier
2024-10-08,Croatia,Japan,2,0,W,Continental Championship
2024-10-08,Canada,South Africa,1,1,L,International Friendly
2024-10-08,United States,Saudi Arabia,3,0,W,Continental Championship
2024-10-08,Uzbekistan,South Korea,2,0,W,Continental Championship
2024-10-09,Spain,Japan,2,1,W,International Friendly
2024-10-09,Spain,Saudi Arabia,1,1,D,World Cup Qualifier
2024-10-09,Croatia,Tunisia,2,2,W,International Friendly
2024-10-09,Sweden,Curaçao,2,0,W,World Cup Qualifier
2024-10-10,Ivory Coast,Mexico,0,0,D,Continental Championship
2024-10-11,Senegal,Ghana,1,1,D,International Friendly
2024-10-11,Iraq,Sweden,1,1,W,Continental Championship
2024-10-11,Senegal,Croatia,2,1,W,International Friendly
2024-10-11,Czech Republic,Scotland,1,1,L,International Friendly
2024-10-12,Portugal,France,2,1,W,International Friendly
2024-10-12,South Africa,Argentina,3,0,W,International Friendly
2024-10-12,Jordan,Tunisia,0,0,D,World Cup Qualifier
2024-10-12,Czech Republic,Qatar,2,1,W,World Cup Qualifier
2024-10-13,New Zealand,Croatia,1,2,L,Continental Championship
2024-10-13,Ghana,Uzbekistan,1,1,D,Continental Championship
2024-10-13,Panama,England,1,0,W,Continental Championship
2024-10-14,Croatia,Qatar,2,2,D,Continental Championship
2024-10-15,Haiti,Ivory Coast,0,2,L,Continental Championship
2024-10-15,Iran,Uruguay,0,3,L,World Cup Qualifier
2024-10-15,Czech Republic,Argentina,0,0,D,World Cup Qualifier
2024-10-15,Japan,Ghana,1,1,D,Continental Championship
2024-10-15,Türkiye,Croatia,1,1,W,World Cup Qualifier
2024-10-16,DR Congo,Egypt,3,2,W,International Friendly
2024-10-16,Tunisia,Colombia,2,1,L,World Cup Qualifier
2024-10-16,South Africa,United States,1,1,W,Continental Championship
2024-10-16,Uzbekistan,Haiti,1,1,D,Continental Championship
2024-10-17,Iran,Cape Verde,3,0,W,International Friendly
2024-10-17,Switzerland,Belgium,1,1,D,World Cup Qualifier
2024-10-18,Tunisia,Algeria,2,1,W,International Friendly
2024-10-18,Egypt,Panama,3,0,W,International Friendly
2024-10-18,Türkiye,Senegal,1,1,D,International Friendly
2024-10-18,Iraq,Ivory Coast,1,1,D,Continental Championship
2024-10-19,Uzbekistan,Scotland,1,0,W,International Friendly
2024-10-20,Qatar,Morocco,0,3,L,World Cup Qualifier
2024-10-21,Uruguay,England,2,0,W,International Friendly
2024-10-22,Iran,Netherlands,2,2,D,International Friendly
2024-10-22,Uzbekistan,Brazil,0,2,L,World Cup Qualifier
2024-10-22,Australia,South Africa,0,2,L,Continental Championship
2024-10-23,Jordan,Portugal,2,1,W,International Friendly
2024-10-23,United States,Curaçao,1,0,W,International Friendly
2024-10-24,Iran,Bosnia and Herzegovina,3,1,W,World Cup Qualifier
2024-10-24,Switzerland,Egypt,2,2,W,International Friendly
